Title,Paid?,Genre,PVP?,Real or fantasey
Pokemon Go!,0,4,1,1
Candy crush,0,0,0,1
Hearthstone,0,3,1,1
Fallout Shelter,0,1,0,1
Pubg Mobile,0,2,1,1
Helix Jump,0,0,0,0
Snake Vs Block,0,0,0,1
Baseball Boy,0,2,0,0
Subway Surfers,0,2,0,1
Toon Blast,0,0,0,0
Temple Run,0,4,0,1
Rise up,0,0,0,0
Keep It alive,0,0,0,1
slither.io,0,0,1,1
Magic Tiles 3,0,0,0,0
Bow Masters,0,2,0,1
The Sims,0,4,0,0
Golf Clash,0,2,0,0
8 ball pool,0,2,0,0
Cooking fever,0,4,0,0
Rolling Sky,0,0,0,1
Super Mario Run!,0,4,0,1
Geomentry Dash,1,0,1,1
Stack Jump,0,0,0,0
Idle Miner Tycoon,0,4,0,1
Hill Climb Racing 2,0,2,0,0
Sniper 3D,0,1,0,1
BigFoot Monster Hunter,0,4,0,1
Fire up,0,2,0,1
Word Link,0,0,0,0
Word Cookies,0,0,1,0
Rush,0,4,0,1
Fruit Ninja,0,2,0,1
Pac-Man,0,4,0,1
Caslte Clash,0,4,1,1
Blast valley,0,4,0,1
Coin Dozer,0,4,0,0
Uno,0,3,1,0
Solitaire,0,3,0,0
Trivia Crack,0,4,1,0
Minecraft,1,4,0,1
The Game Of Life,1,4,1,0
Clue,1,4,1,0
Hitman Sniper,1,1,0,1
Game Dev Tycoon,1,4,0,0
True Skate,1,3,0,0
Don't Starve,1,4,0,1
Clash Of Clans,1,4,1,1
Toy Blast,1,0,0,1
