Title,Price,Genre,Level Of Violence,Play Level,World Style
Rocket League,1,2,0,1,0
Skyrim,1,0,1,1,1
Player Unknown BattleGrounds,1,1,1,0,1
Bioshock Infinite ,1,0,1,0,1
Bioshock 2,1,0,1,0,1
Call Of Duty BlackOps 2,1,1,2,0,0
Call of Duty WW2,1,1,2,0,0
BorderLands,1,1,1,0,1
BorderLands The Pre-Sequel!,1,1,1,0,1
Castlevania: Lord Of Shadows 2,1,1,1,0,1
Need For Speed,1,3,0,0,0
NBA 2K18,1,6,0,0,0
Madden 18,1,6,0,0,0
NHL 18,1,6,0,0,0
Fallout 3,1,0,2,0,1
Fallout 4,1,0,2,0,1
Fallout New Vegas,1,0,2,0,1
Grand Theft Auto 5,1,6,2,0,1
Portal ,1,5,0,0,1
Portal 2,1,5,0,0,1
Saints Row: The Third,1,1,2,0,0
Left 4 Dead,1,1,2,0,1
TitanFall 2,1,1,1,1,1
Fortnight,1,1,1,1,1
No Mans Sky,1,6,0,0,1
Assassin's Creed,1,0,2,0,1
Pay Day 2,1,1,2,0,0
Shadow Of Mordor,1,0,1,0,1
Batman Arkham Orgins ,1,4,2,0,1
South Park The Fractured But The Whole,1,1,1,0,1
Crysis 3,1,1,2,0,1
Tomb Raider,1,2,2,0,0
Dishonored 2,1,6,1,0,1
Dishonored,1,6,1,0,1
Cities: Skylines,1,6,0,0,0
World Of Tanks,0,0,2,1,1
Smite,1,6,1,1,1
Fortnight,1,1,1,1,1
Dragon Age: Inquisition,1,0,2,0,1
The Sims,1,6,0,0,0
Assassin's Creed 4: Black Flag,1,0,2,0,1
Half Life 2,1,1,2,0,1
Mass Effect Two,1,1,2,0,1
Gird,1,3,0,0,0
Grid 2,1,3,0,0,0
Final Fantasy XV,1,1,1,0,1
Last Of Us,1,0,2,0,1
God Of War,1,3,2,0,1
Shadow Of The Colossus,1,0,1,0,1
